9.77554,1.98790,32.69710
1.91503,1.10520,14.45788
4.92414,7.75760,40.06720
4.34923,4.30765,28.58446
3.37670,1.84293,19.71705
1.68869,6.88467,30.87626
8.81796,3.10354,33.75519
2.55407,2.39768,18.95302
7.28236,4.79975,35.75921
1.35118,4.74198,23.64792
9.19158,9.73880,54.52857
4.01402,5.70096,31.67528
9.02272,7.54244,47.43136
5.79130,4.33858,32.02607
2.67163,8.86630,38.80799
6.21096,5.12060,34.53123
4.24305,4.96207,30.28566
4.74782,9.29485,44.49445
6.18859,7.13930,40.84017
1.18381,9.45043,38.21091
3.98455,5.18587,30.39505
7.18277,9.40730,50.01253
6.85775,9.80440,49.81822
2.94115,1.18885,16.67035
3.83276,8.46635,40.55484
3.07731,5.71823,30.67467
1.91147,9.94449,40.48872
6.57312,2.48655,27.30301
2.24693,9.48021,40.12670
8.61133,5.38808,40.49990
6.83531,3.95619,32.46129
4.94679,4.43975,30.01697
8.12060,4.90064,38.35773
9.44014,6.15166,44.73045
5.49853,3.83332,29.47098
9.08090,1.45337,29.62028
6.64177,8.00994,44.23752
7.17285,7.93698,44.70871
7.16600,5.08160,36.42051
5.28881,3.58938,28.53162
8.91700,7.16606,45.92232
1.14905,5.93396,27.30423
8.92236,3.37359,35.43358
8.94955,6.89664,45.37346
5.13886,9.40296,45.17981
2.32870,2.19368,18.33749
2.35457,7.84840,35.25497
1.80263,3.36218,21.15845
1.31325,5.40026,25.82683
9.76643,8.49093,51.58623
5.20464,6.71949,37.46111
9.50541,3.90448,37.38604
1.50182,3.14768,19.77136
6.16197,8.14851,43.35444
9.56758,9.72875,54.98544
3.92794,7.01549,35.52990
1.87086,7.54502,33.39835
4.72114,9.88459,46.15675
1.14919,3.60676,20.12359
6.83848,3.61512,31.20279
3.64461,3.07139,23.40558
5.89461,7.12043,39.77661
6.84383,8.19761,45.35767
1.77748,1.67485,15.65162
6.13043,9.32230,47.70034
9.53546,4.68370,40.27505
1.15028,4.67457,23.39073
9.57021,2.66253,34.20392
9.27366,5.61686,42.19231
